2012-05-16 16:25:55.876 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.876 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.876 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.876 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.876 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.877 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.877 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.877 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.877 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.877 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.877 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.878 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.878 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.878 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.878 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.878 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.878 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.879 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.879 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.879 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.879 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
